股名,股價
大統益,145.5
聯華,61.0
大成,52.0
卜蜂,98.1
統一,80.5
興農,42.10
聯華食,110.5
佳格,38.30
中華食,90.5
黑松,42.40
茂生,54.3
杏昌,139.0
生達,65.6
中化,21.20
太醫,87.2
中聯資,66.0
佳醫,91.6
邦特,139.5
健喬,37.70
中興電,176.5
華固,153.0
根基,83.8
潤弘,158.0
達欣工,54.8
台泥,32.70
巨路,115.5
長榮鋼,119.5
崑鼎,295.0
可寧衛,181.5
櫻花,89.8
日友,96.1
崇友,99.2
鋼聯,106.0
捷流閥業,101.0
茂順,111.5
世豐,58.8
永記,78.0
永豐實,49.25
中租-KY,149.0
裕融,149.0
和潤,97.2
兆豐金,38.65
台中銀,17.60
台積電,973
崇越,279.5
中美晶,194.5
信邦,291.5
華立,125.5
神基,110.0
晶焱,88.4
大聯大,83.2
聯強,72.2
中菲,115.5
精誠,118.5
文曄,108.0
日電貿,62.5
關貿,75.0
零壹,95.6
邁達特,48.10
普萊德,166.0
三福化,121.5
達興材,143.0
桂盟,147.0
中菲行,88.7
台驊,90.1
元大金,31.65
中信金,35.00
永豐金,26.60
花仙子,54.0
永信,57.7
聚鼎,64.5
世鎧,46.10
泰山,20.80
生泰,91.4
晟德,47.20
嘉泥,17.80
福壽,17.20
凌群,58.0
旭富,89.0
承業醫,44.00
盛弘,32.20
新鼎,183.5
凡甲,228.5
京城銀,54.3
信紘科,198.0
開發金,16.15
美吾華,22.55
南僑,55.2
漢科,105.5
長榮航太,100.0
耕興,219.0
資通,50.6
大盤,"22,409.63"
50,183.65
