股名,股價
大統益,154.0
聯華,61.3
大成,51.5
卜蜂,98.4
統一,89.7
興農,42.10
聯華食,112.5
佳格,38.00
中華食,89.1
黑松,41.65
茂生,52.3
杏昌,138.5
生達,64.9
中化,38.65
太醫,89.0
中聯資,67.4
佳醫,87.8
邦特,125.5
健喬,36.75
中興電,163.0
華固,126.5
根基,73.1
潤弘,140.5
達欣工,49.70
台泥,32.75
巨路,112.5
長榮鋼,106.5
崑鼎,284.5
可寧衛,184.5
櫻花,86.4
日友,99.5
崇友,99.6
鋼聯,119.5
捷流閥業,96.1
茂順,117.5
世豐,58.4
永記,78.3
永豐實,48.25
中租-KY,156.5
裕融,141.5
和潤,94.3
兆豐金,39.80
台中銀,18.25
台積電,"1,085"
崇越,293.0
中美晶,162.0
信邦,291.5
華立,124.0
神基,110.0
晶焱,97.6
大聯大,78.0
聯強,73.2
中菲,116.0
精誠,128.0
文曄,112.5
日電貿,61.6
關貿,78.4
零壹,102.5
邁達特,47.95
普萊德,168.0
三福化,126.0
達興材,230.5
桂盟,138.0
中菲行,83.3
台驊,86.6
元大金,33.50
中信金,36.90
永豐金,24.00
花仙子,53.1
永信,56.7
聚鼎,73.8
世鎧,39.05
泰山,20.40
生泰,95.4
晟德,47.30
嘉泥,17.80
福壽,17.25
凌群,55.7
旭富,89.7
承業醫,45.35
盛弘,30.00
新鼎,176.5
凡甲,277.5
京城銀,54.3
信紘科,227.0
開發金,17.75
美吾華,23.75
南僑,56.7
漢科,102.5
長榮航太,95.5
耕興,217.0
資通,49.10
大盤,"23,487.27"
50,198.10
