股名,股價
中租-KY,148.5
和潤,98.8
和潤甲,94.2
裕融,150.5
台中銀,17.75
兆豐金,39.00
中信金,34.90
第一金,26.85
臺企銀,16.00
京城銀,54.5
和潤乙,94.6
永豐金,26.95
合庫金,25.95
聯邦銀,14.95
元大金,32.00
中菲行,89.7
捷迅,77.4
台驊,90.1
三陽,73.5
長榮航太,98.7
桂盟,144.5
聯強,71.2
華立,124.0
日電貿,62.8
文曄,111.5
大聯大,83.8
中碳,99.3
奇鈦科,57.2
新至陞,135.0
中聯資,66.0
鋼聯,105.0
永記,78.5
三福化,121.0
光洋科,62.9
明基材,29.55
捷流閥業,100.0
茂順,111.5
鑫永銓,99.3
世豐,59.1
世鎧,46.60
中鋼,22.30
榮剛,46.85
長榮鋼,118.0
崑鼎,294.5
可寧衛,181.5
日友,95.2
中興電,176.0
台汽電,44.50
久陽,25.90
櫻花,90.4
崇友,99.6
花仙子,54.0
全國電,83.0
永豐實,49.85
台積電,969
中美晶,190.5
信紘科,198.0
崇越,276.0
信邦,298.5
凡甲,227.5
晶焱,88.7
耕興,217.0
致茂,316.0
達興材,147.0
臺慶科,135.0
普萊德,157.0
神基,110.0
精誠,117.0
中菲,114.0
漢科,106.0
零壹,95.0
資通,50.5
凌群,55.5
關貿,74.9
邁達特,47.65
緯軟,114.0
新鼎,184.0
巨路,114.5
飛捷,88.9
中保科,145.0
台泥,32.85
華固,156.5
達欣工,54.5
巨漢,155.0
潤弘,155.0
根基,83.5
皇翔,69.1
雲品,56.9
鈺齊-KY,119.0
杏昌,139.0
佳醫,92.3
邦特,139.0
盛弘,31.95
生達,65.8
永信,56.9
中化,21.00
旭富,89.3
生泰,91.2
太醫,87.0
承業醫,43.95
美吾華,22.55
健喬,37.75
溫士頓無價格,17.75
聯華,61.3
聯華食,114.0
卜蜂,98.8
大成,52.0
南僑,55.6
茂生,54.0
黑松,42.70
中華食,90.8
統一,81.2
興農,42.55
德記,40.85
三商餐飲無價格,17.75
佳格,38.35
大統益,147.0
